mutant_name,aa_count,start_pos,end_pos,avg_plddt,avg_iptm,avg_atom_count
mil12_alphahelix_14-25aa_10_1,23,147,169,81.57023645,0.846,203
mil12_alphahelix_14-25aa_7_2,25,147,171,63.0320198,0.808,202
mil12_alphahelix_14-25aa_14_2,19,147,165,85.26424691,0.85,162
mil12_alphahelix_14-25aa_13_2,24,147,170,63.13273404,0.816,188
mil12_alphahelix_14-25aa_30_8,21,147,167,60.61196104,0.816,154
mil12_alphahelix_14-25aa_12_2,22,147,168,75.81912568,0.828,183
mil12_alphahelix_14-25aa_46_5,25,147,171,55.63638418,0.808,177
mil12_alphahelix_14-25aa_34_2,16,147,162,72.80521168,0.844,137
mil12_alphahelix_14-25aa_24_10,24,147,170,78.57557609,0.818,184
mil12_alphahelix_14-25aa_48_8,18,147,164,83.85390909,0.852,154
mil12_alphahelix_14-25aa_5_5,15,147,161,75.01244118,0.846,136
mil12_alphahelix_14-25aa_5_7,15,147,161,70.42528571,0.84,126
mil12_alphahelix_14-25aa_13_10,24,147,170,65.38150505,0.812,198
mil12_alphahelix_14-25aa_36_6,19,147,165,85.71189024,0.848,164
mil12_alphahelix_14-25aa_5_1,15,147,161,74.03715789,0.846,133
mil12_alphahelix_14-25aa_3_2,25,147,171,78.23730964,0.84,197
mil12_alphahelix_14-25aa_20_9,14,147,160,63.90114961,0.846,127
mil12_alphahelix_14-25aa_45_3,21,147,167,67.84408537,0.82,164
mil12_alphahelix_14-25aa_18_8,25,147,171,63.41981443,0.81,194
mil12_alphahelix_14-25aa_42_1,16,147,162,65.01581679,0.82,131
mil12_alphahelix_14-25aa_28_9,15,147,161,61.29326984,0.84,126
mil12_alphahelix_14-25aa_36_10,19,147,165,86.54317576,0.85,165
mil12_alphahelix_14-25aa_4_1,22,147,168,66.79105085,0.828,177
mil12_alphahelix_14-25aa_37_5,25,147,171,70.37228718,0.812,195
mil12_alphahelix_14-25aa_27_2,25,147,171,51.62880193,0.806,207
mil12_alphahelix_14-25aa_6_9,23,147,169,79.17798942,0.838,189
mil12_alphahelix_14-25aa_49_8,14,147,160,64.78926606,0.822,109
mil12_alphahelix_14-25aa_47_7,20,147,166,87.66661078,0.854,167
mil12_alphahelix_14-25aa_16_4,17,147,163,52.68016296,0.812,135
mil12_alphahelix_14-25aa_32_10,24,147,170,53.84334359,0.8,195
mil12_alphahelix_14-25aa_21_10,24,147,170,68.2033057,0.816,193
mil12_alphahelix_14-25aa_19_3,20,147,166,83.62675776,0.85,161
mil12_alphahelix_14-25aa_9_6,22,147,168,61.85088757,0.812,169
mil12_alphahelix_14-25aa_35_7,19,147,165,70.88441892,0.834,148
mil12_alphahelix_14-25aa_3_8,25,147,171,81.88240796,0.86,201
mil12_alphahelix_14-25aa_50_9,15,147,161,67.05707692,0.84,130
mil12_alphahelix_14-25aa_7_6,25,147,171,54.31170297,0.802,202
mil12_alphahelix_14-25aa_39_2,25,147,171,83.66472362,0.85,199
mil12_alphahelix_14-25aa_14_3,19,147,165,84.3145125,0.85,160
mil12_alphahelix_14-25aa_27_9,25,147,171,52.24683654,0.802,208
mil12_alphahelix_14-25aa_16_10,17,147,163,53.61174286,0.814,140
mil12_alphahelix_14-25aa_14_4,19,147,165,86.5419521,0.85,167
mil12_alphahelix_14-25aa_18_5,25,147,171,62.6331875,0.81,192
mil12_alphahelix_14-25aa_26_10,21,147,167,89.15420765,0.86,183
mil12_alphahelix_14-25aa_16_5,17,147,163,52.21661765,0.816,136
mil12_alphahelix_14-25aa_45_7,21,147,167,65.37706173,0.822,162
mil12_alphahelix_14-25aa_26_1,21,147,167,88.11847872,0.852,188
mil12_alphahelix_14-25aa_20_8,14,147,160,65.1237377,0.842,122
mil12_alphahelix_14-25aa_13_5,24,147,170,63.1853617,0.81,188
mil12_alphahelix_14-25aa_48_9,18,147,164,80.47479487,0.85,156
mil12_alphahelix_14-25aa_39_1,25,147,171,74.26050962,0.816,208
mil12_alphahelix_14-25aa_41_3,23,147,169,77.63754386,0.826,171
mil12_alphahelix_14-25aa_7_4,25,147,171,64.62336683,0.808,199
mil12_alphahelix_14-25aa_29_2,19,147,165,59.8331465,0.812,157
mil12_alphahelix_14-25aa_32_6,24,147,170,61.29543158,0.812,190
mil12_alphahelix_14-25aa_40_7,15,147,161,60.60517073,0.836,123
mil12_alphahelix_14-25aa_49_9,14,147,160,66.39717857,0.818,112
mil12_alphahelix_14-25aa_8_6,25,147,171,57.31684103,0.806,195
mil12_alphahelix_14-25aa_2_2,22,147,168,70.47531818,0.828,176
mil12_alphahelix_14-25aa_22_2,17,147,163,80.32825714,0.84,140
mil12_alphahelix_14-25aa_34_5,16,147,162,81.63070588,0.84,136
mil12_alphahelix_14-25aa_11_6,25,147,171,72.8362,0.816,200
mil12_alphahelix_14-25aa_1_6,15,147,161,77.53932787,0.85,122
mil12_alphahelix_14-25aa_23_3,25,147,171,82.26154455,0.838,202
mil12_alphahelix_14-25aa_47_8,20,147,166,87.4624878,0.85,164
mil12_alphahelix_14-25aa_27_3,25,147,171,49.13974194,0.808,217
mil12_alphahelix_14-25aa_43_10,21,147,167,82.37839053,0.846,169
mil12_alphahelix_14-25aa_50_6,15,147,161,67.72631008,0.842,129
mil12_alphahelix_14-25aa_39_10,25,147,171,65.71410577,0.82,208
mil12_alphahelix_14-25aa_9_9,22,147,168,59.43461988,0.8,171
mil12_alphahelix_14-25aa_49_6,14,147,160,66.27875439,0.82,114
mil12_alphahelix_14-25aa_27_8,25,147,171,55.48383886,0.802,211
mil12_alphahelix_14-25aa_33_9,23,147,169,53.49003352,0.816,179
mil12_alphahelix_14-25aa_30_6,21,147,167,66.84270886,0.818,158
mil12_alphahelix_14-25aa_43_9,21,147,167,77.65114286,0.84,175
mil12_alphahelix_14-25aa_30_10,21,147,167,66.81535294,0.828,170
mil12_alphahelix_14-25aa_16_1,17,147,163,53.91971212,0.818,132
mil12_alphahelix_14-25aa_17_5,17,147,163,81.92133333,0.85,129
mil12_alphahelix_14-25aa_37_3,25,147,171,70.05512169,0.816,189
mil12_alphahelix_14-25aa_44_9,15,147,161,74.891,0.84,126
mil12_alphahelix_14-25aa_39_3,25,147,171,85.93388889,0.85,198
mil12_alphahelix_14-25aa_40_3,15,147,161,59.65436066,0.84,122
mil12_alphahelix_14-25aa_10_5,23,147,169,66.14186275,0.816,204
mil12_alphahelix_14-25aa_38_8,19,147,165,87.58025455,0.85,165
mil12_alphahelix_14-25aa_21_3,24,147,170,66.055,0.818,200
mil12_alphahelix_14-25aa_49_1,14,147,160,72.72603252,0.84,123
mil12_alphahelix_14-25aa_28_6,15,147,161,56.732,0.832,123
mil12_alphahelix_14-25aa_27_4,25,147,171,49.66915349,0.814,215
mil12_alphahelix_14-25aa_16_7,17,147,163,55.64415385,0.81,130
mil12_alphahelix_14-25aa_17_3,17,147,163,74.00894118,0.842,136
mil12_alphahelix_14-25aa_4_9,22,147,168,69.64836364,0.828,176
mil12_alphahelix_14-25aa_28_5,15,147,161,67.92921951,0.84,123
mil12_alphahelix_14-25aa_8_4,25,147,171,55.91234783,0.814,207
mil12_alphahelix_14-25aa_32_5,24,147,170,52.60821538,0.806,195
mil12_alphahelix_14-25aa_3_7,25,147,171,74.36727184,0.838,206
mil12_alphahelix_14-25aa_12_10,22,147,168,82.73293923,0.85,181
mil12_alphahelix_14-25aa_43_5,21,147,167,82.17095349,0.848,172
mil12_alphahelix_14-25aa_29_3,19,147,165,60.76461429,0.82,140
mil12_alphahelix_14-25aa_41_7,23,147,169,74.13556213,0.824,169
mil12_alphahelix_14-25aa_24_4,24,147,170,65.4086114,0.818,193
mil12_alphahelix_14-25aa_13_4,24,147,170,67.8750929,0.812,183
mil12_alphahelix_14-25aa_1_3,15,147,161,81.29786992,0.856,123
mil12_alphahelix_14-25aa_40_1,15,147,161,58.37913821,0.838,123
mil12_alphahelix_14-25aa_36_3,19,147,165,87.73007317,0.848,164
mil12_alphahelix_14-25aa_44_3,15,147,161,78.453776,0.848,125
mil12_alphahelix_14-25aa_36_5,19,147,165,85.34002424,0.846,165
mil12_alphahelix_14-25aa_24_1,24,147,170,77.94673016,0.816,189
mil12_alphahelix_14-25aa_19_5,20,147,166,83.92658385,0.852,161
mil12_alphahelix_14-25aa_40_2,15,147,161,57.20366667,0.832,120
mil12_alphahelix_14-25aa_50_3,15,147,161,78.8043125,0.85,128
mil12_alphahelix_14-25aa_44_2,15,147,161,83.598816,0.848,125
mil12_alphahelix_14-25aa_17_7,17,147,163,83.70718519,0.852,135
mil12_alphahelix_14-25aa_26_9,21,147,167,88.80897297,0.86,185
mil12_alphahelix_14-25aa_5_9,15,147,161,71.0126963,0.84,135
mil12_alphahelix_14-25aa_50_8,15,147,161,74.70482645,0.848,121
mil12_alphahelix_14-25aa_32_3,24,147,170,63.08748691,0.818,191
mil12_alphahelix_14-25aa_49_5,14,147,160,67.49215254,0.82,118
mil12_alphahelix_14-25aa_31_7,21,147,167,77.64526136,0.838,176
mil12_alphahelix_14-25aa_25_2,17,147,163,60.35742857,0.83,133
mil12_alphahelix_14-25aa_23_6,25,147,171,82.15313725,0.84,204
mil12_alphahelix_14-25aa_41_6,23,147,169,80.16173494,0.842,166
mil12_alphahelix_14-25aa_38_7,19,147,165,86.23329341,0.842,167
mil12_alphahelix_14-25aa_26_8,21,147,167,89.58427027,0.85,185
mil12_alphahelix_14-25aa_23_8,25,147,171,80.87938679,0.836,212
mil12_alphahelix_14-25aa_6_4,23,147,169,76.66337173,0.838,191
mil12_alphahelix_14-25aa_30_5,21,147,167,63.97080723,0.82,166
mil12_alphahelix_14-25aa_20_1,14,147,160,72.17774194,0.844,124
mil12_alphahelix_14-25aa_39_4,25,147,171,72.19017734,0.818,203
mil12_alphahelix_14-25aa_46_10,25,147,171,40.62414458,0.806,166
mil12_alphahelix_14-25aa_16_6,17,147,163,52.37921805,0.81,133
mil12_alphahelix_14-25aa_25_1,17,147,163,59.81176563,0.824,128
mil12_alphahelix_14-25aa_12_3,22,147,168,77.14205618,0.84,178
mil12_alphahelix_14-25aa_44_6,15,147,161,77.72678689,0.848,122
mil12_alphahelix_14-25aa_12_4,22,147,168,78.35245556,0.824,180
mil12_alphahelix_14-25aa_45_2,21,147,167,68.25390419,0.818,167
mil12_alphahelix_14-25aa_34_7,16,147,162,83.73180282,0.85,142
mil12_alphahelix_14-25aa_4_4,22,147,168,71.55795429,0.83,175
mil12_alphahelix_14-25aa_16_8,17,147,163,53.142625,0.81,128
mil12_alphahelix_14-25aa_16_9,17,147,163,51.58734884,0.812,129
mil12_alphahelix_14-25aa_14_1,19,147,165,84.84911905,0.85,168
mil12_alphahelix_14-25aa_6_6,23,147,169,79.46860204,0.834,196
mil12_alphahelix_14-25aa_46_1,25,147,171,45.4467931,0.81,174
mil12_alphahelix_14-25aa_18_6,25,147,171,63.98036649,0.812,191
mil12_alphahelix_14-25aa_30_9,21,147,167,63.93187421,0.82,159
mil12_alphahelix_14-25aa_1_9,15,147,161,76.57954098,0.85,122
mil12_alphahelix_14-25aa_28_2,15,147,161,66.56185484,0.84,124
mil12_alphahelix_14-25aa_9_3,22,147,168,52.5857907,0.812,172
mil12_alphahelix_14-25aa_38_4,19,147,165,87.41122619,0.846,168
mil12_alphahelix_14-25aa_20_2,14,147,160,78.7232,0.86,120
mil12_alphahelix_14-25aa_25_9,17,147,163,62.39877698,0.83,139
mil12_alphahelix_14-25aa_8_10,25,147,171,57.59355769,0.806,208
mil12_alphahelix_14-25aa_12_7,22,147,168,75.25948108,0.816,185
mil12_alphahelix_14-25aa_40_8,15,147,161,60.27757812,0.838,128
mil12_alphahelix_14-25aa_20_7,14,147,160,75.72248387,0.85,124
mil12_alphahelix_14-25aa_19_2,20,147,166,84.75475309,0.852,162
mil12_alphahelix_14-25aa_8_2,25,147,171,57.34063682,0.808,201
mil12_alphahelix_14-25aa_11_5,25,147,171,73.14031841,0.83,201
mil12_alphahelix_14-25aa_37_2,25,147,171,65.85483495,0.81,206
mil12_alphahelix_14-25aa_14_8,19,147,165,86.64147239,0.85,163
mil12_alphahelix_14-25aa_29_6,19,147,165,60.4294902,0.82,153
mil12_alphahelix_14-25aa_30_4,21,147,167,70.9736185,0.826,173
mil12_alphahelix_14-25aa_18_1,25,147,171,64.10143284,0.81,201
mil12_alphahelix_14-25aa_43_6,21,147,167,85.80217544,0.848,171
mil12_alphahelix_14-25aa_27_7,25,147,171,62.50593548,0.81,217
mil12_alphahelix_14-25aa_24_7,24,147,170,78.21289947,0.818,189
mil12_alphahelix_14-25aa_11_1,25,147,171,71.0608,0.818,185
mil12_alphahelix_14-25aa_33_2,23,147,169,61.83225397,0.82,189
mil12_alphahelix_14-25aa_27_1,25,147,171,62.73513084,0.816,214
mil12_alphahelix_14-25aa_15_7,17,147,163,86.59163889,0.85,144
mil12_alphahelix_14-25aa_48_1,18,147,164,82.70598684,0.85,152
mil12_alphahelix_14-25aa_46_9,25,147,171,41.04205376,0.802,186
mil12_alphahelix_14-25aa_19_9,20,147,166,83.52316049,0.842,162
mil12_alphahelix_14-25aa_28_7,15,147,161,69.94485246,0.84,122
mil12_alphahelix_14-25aa_14_5,19,147,165,86.05025316,0.85,158
mil12_alphahelix_14-25aa_32_2,24,147,170,66.0130404,0.818,198
mil12_alphahelix_14-25aa_1_1,15,147,161,83.52543333,0.856,120
mil12_alphahelix_14-25aa_7_7,25,147,171,60.05148,0.802,200
mil12_alphahelix_14-25aa_14_6,19,147,165,86.54949383,0.85,162
mil12_alphahelix_14-25aa_13_1,24,147,170,63.63722167,0.816,203
mil12_alphahelix_14-25aa_43_2,21,147,167,79.05167816,0.84,174
mil12_alphahelix_14-25aa_4_3,22,147,168,72.25598851,0.82,174
mil12_alphahelix_14-25aa_25_8,17,147,163,58.88657364,0.828,129
mil12_alphahelix_14-25aa_7_1,25,147,171,56.55039024,0.808,205
mil12_alphahelix_14-25aa_8_9,25,147,171,56.09141,0.804,200
mil12_alphahelix_14-25aa_9_7,22,147,168,58.40804706,0.812,170
mil12_alphahelix_14-25aa_10_8,23,147,169,72.40345078,0.824,193
mil12_alphahelix_14-25aa_48_7,18,147,164,81.18594969,0.846,159
mil12_alphahelix_14-25aa_4_2,22,147,168,67.89503409,0.824,176
mil12_alphahelix_14-25aa_48_2,18,147,164,79.80328571,0.848,154
mil12_alphahelix_14-25aa_33_6,23,147,169,57.91339877,0.808,163
mil12_alphahelix_14-25aa_39_7,25,147,171,81.80374163,0.85,209
mil12_alphahelix_14-25aa_10_4,23,147,169,71.0171694,0.83,183
mil12_alphahelix_14-25aa_43_3,21,147,167,86.06673988,0.85,173
mil12_alphahelix_14-25aa_2_5,22,147,168,70.83620225,0.83,178
mil12_alphahelix_14-25aa_48_5,18,147,164,82.43101961,0.85,153
mil12_alphahelix_14-25aa_5_10,15,147,161,75.70431746,0.85,126
mil12_alphahelix_14-25aa_5_8,15,147,161,74.802,0.85,134
mil12_alphahelix_14-25aa_31_4,21,147,167,79.59412865,0.848,171
mil12_alphahelix_14-25aa_23_4,25,147,171,81.37848544,0.838,206
mil12_alphahelix_14-25aa_35_9,19,147,165,69.85991195,0.838,159
mil12_alphahelix_14-25aa_29_5,19,147,165,59.82206369,0.82,157
mil12_alphahelix_14-25aa_50_10,15,147,161,67.100672,0.824,125
mil12_alphahelix_14-25aa_25_6,17,147,163,54.28978788,0.82,132
mil12_alphahelix_14-25aa_20_10,14,147,160,65.896592,0.84,125
mil12_alphahelix_14-25aa_38_10,19,147,165,88.354825,0.846,160
mil12_alphahelix_14-25aa_9_8,22,147,168,68.30666279,0.83,172
mil12_alphahelix_14-25aa_4_8,22,147,168,70.6271954,0.824,174
mil12_alphahelix_14-25aa_49_7,14,147,160,67.62856897,0.82,116
mil12_alphahelix_14-25aa_18_4,25,147,171,65.60721,0.81,200
mil12_alphahelix_14-25aa_41_5,23,147,169,73.33568132,0.828,182
mil12_alphahelix_14-25aa_42_8,16,147,162,68.591568,0.82,125
mil12_alphahelix_14-25aa_24_6,24,147,170,75.52169792,0.818,192
mil12_alphahelix_14-25aa_15_4,17,147,163,85.71685906,0.85,149
mil12_alphahelix_14-25aa_31_10,21,147,167,78.87934503,0.84,171
mil12_alphahelix_14-25aa_45_6,21,147,167,67.1345,0.824,168
mil12_alphahelix_14-25aa_34_6,16,147,162,84.15955072,0.848,138
mil12_alphahelix_14-25aa_50_4,15,147,161,72.4830303,0.848,132
mil12_alphahelix_14-25aa_22_1,17,147,163,74.76512857,0.84,140
mil12_alphahelix_14-25aa_1_4,15,147,161,79.19706897,0.858,116
mil12_alphahelix_14-25aa_20_4,14,147,160,64.74219512,0.84,123
mil12_alphahelix_14-25aa_37_9,25,147,171,66.50126702,0.816,191
mil12_alphahelix_14-25aa_18_3,25,147,171,64.49719598,0.81,199
mil12_alphahelix_14-25aa_34_1,16,147,162,85.2388227,0.848,141
mil12_alphahelix_14-25aa_29_7,19,147,165,51.49730263,0.82,152
mil12_alphahelix_14-25aa_39_6,25,147,171,77.4302029,0.848,207
mil12_alphahelix_14-25aa_37_6,25,147,171,65.24679188,0.81,197
mil12_alphahelix_14-25aa_19_6,20,147,166,84.48203896,0.85,154
mil12_alphahelix_14-25aa_25_10,17,147,163,56.37320312,0.82,128
mil12_alphahelix_14-25aa_31_5,21,147,167,82.46476744,0.85,172
mil12_alphahelix_14-25aa_22_4,17,147,163,76.76109353,0.844,139
mil12_alphahelix_14-25aa_44_5,15,147,161,79.23061789,0.85,123
mil12_alphahelix_14-25aa_17_8,17,147,163,82.40066667,0.85,147
mil12_alphahelix_14-25aa_11_8,25,147,171,72.17399005,0.82,201
mil12_alphahelix_14-25aa_3_5,25,147,171,83.75015789,0.85,190
mil12_alphahelix_14-25aa_17_4,17,147,163,86.05028767,0.85,146
mil12_alphahelix_14-25aa_46_3,25,147,171,41.52878107,0.802,169
mil12_alphahelix_14-25aa_3_3,25,147,171,81.056,0.85,195
mil12_alphahelix_14-25aa_4_5,22,147,168,66.06145455,0.82,176
mil12_alphahelix_14-25aa_35_2,19,147,165,71.00965432,0.84,162
mil12_alphahelix_14-25aa_4_10,22,147,168,68.34499422,0.822,173
mil12_alphahelix_14-25aa_21_2,24,147,170,68.28692784,0.818,194
mil12_alphahelix_14-25aa_46_6,25,147,171,38.07884024,0.806,169
mil12_alphahelix_14-25aa_10_6,23,147,169,79.54048677,0.828,189
mil12_alphahelix_14-25aa_25_3,17,147,163,76.9471145,0.84,131
mil12_alphahelix_14-25aa_19_8,20,147,166,84.60096429,0.85,168
mil12_alphahelix_14-25aa_28_1,15,147,161,56.63395041,0.832,121
mil12_alphahelix_14-25aa_13_3,24,147,170,64.77551,0.814,200
mil12_alphahelix_14-25aa_45_8,21,147,167,67.84210909,0.824,165
mil12_alphahelix_14-25aa_45_5,21,147,167,67.28046707,0.826,167
mil12_alphahelix_14-25aa_6_7,23,147,169,74.15341304,0.836,184
mil12_alphahelix_14-25aa_36_9,19,147,165,87.67436585,0.842,164
mil12_alphahelix_14-25aa_40_6,15,147,161,59.57516949,0.84,118
mil12_alphahelix_14-25aa_31_8,21,147,167,80.42913953,0.842,172
mil12_alphahelix_14-25aa_15_8,17,147,163,86.39078667,0.85,150
mil12_alphahelix_14-25aa_27_10,25,147,171,51.81774884,0.804,215
mil12_alphahelix_14-25aa_44_4,15,147,161,77.9535122,0.848,123
mil12_alphahelix_14-25aa_44_10,15,147,161,64.72032787,0.832,122
mil12_alphahelix_14-25aa_36_4,19,147,165,86.11635503,0.85,169
mil12_alphahelix_14-25aa_2_8,22,147,168,71.9841087,0.83,184
mil12_alphahelix_14-25aa_11_4,25,147,171,71.18778947,0.82,190
mil12_alphahelix_14-25aa_23_1,25,147,171,69.70371569,0.828,204
mil12_alphahelix_14-25aa_37_8,25,147,171,68.90917277,0.818,191
mil12_alphahelix_14-25aa_29_8,19,147,165,66.64751634,0.83,153
mil12_alphahelix_14-25aa_24_2,24,147,170,81.49306878,0.82,189
mil12_alphahelix_14-25aa_39_8,25,147,171,78.52298537,0.83,205
mil12_alphahelix_14-25aa_49_10,14,147,160,68.84189286,0.828,112
mil12_alphahelix_14-25aa_10_2,23,147,169,69.42222105,0.818,190
mil12_alphahelix_14-25aa_23_7,25,147,171,80.4392233,0.846,206
mil12_alphahelix_14-25aa_3_10,25,147,171,80.66464706,0.844,204
mil12_alphahelix_14-25aa_25_4,17,147,163,59.81181538,0.828,130
mil12_alphahelix_14-25aa_35_8,19,147,165,63.95295597,0.818,159
mil12_alphahelix_14-25aa_34_4,16,147,162,75.96182609,0.85,138
mil12_alphahelix_14-25aa_1_8,15,147,161,83.655744,0.86,125
mil12_alphahelix_14-25aa_47_4,20,147,166,86.26651497,0.852,167
mil12_alphahelix_14-25aa_39_9,25,147,171,81.70791388,0.826,209
mil12_alphahelix_14-25aa_36_1,19,147,165,85.44299394,0.846,165
mil12_alphahelix_14-25aa_7_10,25,147,171,64.85294416,0.814,197
mil12_alphahelix_14-25aa_10_3,23,147,169,74.08900529,0.83,189
mil12_alphahelix_14-25aa_35_4,19,147,165,67.93351592,0.83,157
mil12_alphahelix_14-25aa_46_2,25,147,171,39.3627191,0.804,178
mil12_alphahelix_14-25aa_35_10,19,147,165,70.27294366,0.834,142
mil12_alphahelix_14-25aa_8_5,25,147,171,54.59501435,0.81,209
mil12_alphahelix_14-25aa_21_5,24,147,170,61.87135751,0.812,193
mil12_alphahelix_14-25aa_28_3,15,147,161,73.88317188,0.846,128
mil12_alphahelix_14-25aa_42_4,16,147,162,65.50840336,0.818,119
mil12_alphahelix_14-25aa_28_8,15,147,161,53.78829687,0.83,128
mil12_alphahelix_14-25aa_7_5,25,147,171,60.39547,0.81,200
mil12_alphahelix_14-25aa_48_3,18,147,164,82.73379221,0.854,154
mil12_alphahelix_14-25aa_31_9,21,147,167,77.54348538,0.838,171
mil12_alphahelix_14-25aa_1_10,15,147,161,81.28464463,0.858,121
mil12_alphahelix_14-25aa_30_1,21,147,167,64.06858385,0.82,161
mil12_alphahelix_14-25aa_13_8,24,147,170,65.35378462,0.814,195
mil12_alphahelix_14-25aa_40_10,15,147,161,60.22033333,0.84,120
mil12_alphahelix_14-25aa_23_9,25,147,171,85.42573659,0.85,205
mil12_alphahelix_14-25aa_48_6,18,147,164,82.882,0.85,152
mil12_alphahelix_14-25aa_17_10,17,147,163,76.68033557,0.844,149
mil12_alphahelix_14-25aa_25_5,17,147,163,59.28961151,0.83,139
mil12_alphahelix_14-25aa_21_8,24,147,170,67.690625,0.81,192
mil12_alphahelix_14-25aa_22_6,17,147,163,81.6979,0.848,140
mil12_alphahelix_14-25aa_33_5,23,147,169,60.04559538,0.814,173
mil12_alphahelix_14-25aa_41_8,23,147,169,67.28803448,0.818,174
mil12_alphahelix_14-25aa_42_9,16,147,162,67.58903937,0.82,127
mil12_alphahelix_14-25aa_43_1,21,147,167,76.29221818,0.838,165
mil12_alphahelix_14-25aa_2_3,22,147,168,73.2627933,0.828,179
mil12_alphahelix_14-25aa_35_3,19,147,165,69.78407643,0.834,157
mil12_alphahelix_14-25aa_27_6,25,147,171,54.91777143,0.814,210
mil12_alphahelix_14-25aa_9_5,22,147,168,48.75080702,0.806,171
mil12_alphahelix_14-25aa_42_3,16,147,162,68.85801587,0.838,126
mil12_alphahelix_14-25aa_33_1,23,147,169,49.60192473,0.81,186
mil12_alphahelix_14-25aa_47_1,20,147,166,86.8356875,0.85,160
mil12_alphahelix_14-25aa_8_7,25,147,171,55.66436364,0.802,198
mil12_alphahelix_14-25aa_24_3,24,147,170,70.15718947,0.82,190
mil12_alphahelix_14-25aa_33_7,23,147,169,40.37520213,0.806,188
mil12_alphahelix_14-25aa_8_3,25,147,171,58.10616667,0.802,192
mil12_alphahelix_14-25aa_20_5,14,147,160,63.06695161,0.84,124
mil12_alphahelix_14-25aa_25_7,17,147,163,74.93484211,0.84,133
mil12_alphahelix_14-25aa_28_10,15,147,161,51.82555,0.83,120
mil12_alphahelix_14-25aa_49_4,14,147,160,65.83793162,0.82,117
mil12_alphahelix_14-25aa_37_1,25,147,171,65.95621164,0.81,189
mil12_alphahelix_14-25aa_42_6,16,147,162,64.5963622,0.83,127
mil12_alphahelix_14-25aa_36_2,19,147,165,86.6645697,0.846,165
mil12_alphahelix_14-25aa_32_8,24,147,170,65.53621429,0.818,196
mil12_alphahelix_14-25aa_22_7,17,147,163,84.27818462,0.85,130
mil12_alphahelix_14-25aa_42_7,16,147,162,64.66502362,0.83,127
mil12_alphahelix_14-25aa_38_6,19,147,165,86.77993976,0.85,166
mil12_alphahelix_14-25aa_40_9,15,147,161,60.05890164,0.842,122
mil12_alphahelix_14-25aa_3_4,25,147,171,78.84891713,0.85,181
mil12_alphahelix_14-25aa_44_7,15,147,161,70.0926875,0.844,128
mil12_alphahelix_14-25aa_23_10,25,147,171,79.38033333,0.836,210
mil12_alphahelix_14-25aa_22_9,17,147,163,64.98152593,0.832,135
mil12_alphahelix_14-25aa_21_6,24,147,170,67.52216,0.812,200
mil12_alphahelix_14-25aa_1_7,15,147,161,77.66789831,0.846,118
mil12_alphahelix_14-25aa_1_5,15,147,161,77.20588525,0.85,122
mil12_alphahelix_14-25aa_29_9,19,147,165,60.20784314,0.82,153
mil12_alphahelix_14-25aa_43_8,21,147,167,85.02139773,0.85,176
mil12_alphahelix_14-25aa_35_1,19,147,165,68.82789677,0.83,155
mil12_alphahelix_14-25aa_41_9,23,147,169,67.40563953,0.822,172
