mutant_name,avg_plddt,avg_iptm
mil12_redesignloop_0_2_sample195,62.34636,0.838
mil12_redesignloop_0_3_sample184,65.19575281,0.836
mil12_redesignloop_0_3_sample252,65.67769072,0.84
mil12_redesignloop_0_3_sample111,60.15748387,0.83
mil12_redesignloop_0_2_sample52,64.13410526,0.84
mil12_redesignloop_0_3_sample323,63.50684848,0.838
mil12_redesignloop_0_3_sample381,63.1465625,0.836
mil12_redesignloop_0_2_sample184,69.1217234,0.84
mil12_redesignloop_0_2_sample293,73.57145263,0.85
mil12_redesignloop_0_3_sample125,59.65451613,0.83
mil12_redesignloop_0_2_sample111,63.87024242,0.84
mil12_redesignloop_0_3_sample233,62.31428571,0.832
mil12_redesignloop_0_3_sample401,67.50175824,0.84
mil12_redesignloop_0_3_sample67,67.5857732,0.84
mil12_redesignloop_0_3_sample150,60.86995789,0.832
mil12_redesignloop_0_3_sample13,57.85538462,0.83
mil12_redesignloop_0_2_sample443,62.9698125,0.84
mil12_redesignloop_0_2_sample390,63.5969697,0.84
mil12_redesignloop_0_3_sample331,62.74075269,0.832
mil12_redesignloop_0_2_sample430,70.64285417,0.84
mil12_redesignloop_0_3_sample90,64.58561798,0.84
mil12_redesignloop_0_3_sample158,64.11469565,0.84
mil12_redesignloop_0_2_sample300,66.32100971,0.84
mil12_redesignloop_0_2_sample333,62.3325567,0.83
mil12_redesignloop_0_2_sample439,64.32765385,0.84
mil12_redesignloop_0_2_sample367,68.40684,0.84
mil12_redesignloop_0_3_sample355,61.8122,0.832
mil12_redesignloop_0_2_sample345,63.23016842,0.838
mil12_redesignloop_0_3_sample167,62.00593684,0.83
mil12_redesignloop_0_2_sample343,63.66688889,0.836
mil12_redesignloop_0_3_sample200,66.80583158,0.84
mil12_redesignloop_0_2_sample242,66.75846939,0.84
mil12_redesignloop_0_2_sample319,62.15174194,0.832
mil12_redesignloop_0_2_sample74,65.31298969,0.84
mil12_redesignloop_0_3_sample235,61.09689362,0.838
mil12_redesignloop_0_3_sample240,61.42380435,0.832
mil12_redesignloop_0_2_sample138,63.68113725,0.84
mil12_redesignloop_0_2_sample310,66.31205825,0.84
mil12_redesignloop_0_2_sample206,66.04736842,0.84
mil12_redesignloop_0_3_sample137,61.70748454,0.834
mil12_redesignloop_0_3_sample274,60.36819565,0.832
mil12_redesignloop_0_2_sample159,66.40943158,0.84
mil12_redesignloop_0_2_sample35,67.21357576,0.84
mil12_redesignloop_0_3_sample77,59.05467368,0.83
mil12_redesignloop_0_3_sample210,63.64917895,0.84
mil12_redesignloop_0_3_sample387,66.95176842,0.84
mil12_redesignloop_0_3_sample421,60.03863043,0.836
mil12_redesignloop_0_2_sample150,64.04938776,0.84
mil12_redesignloop_0_3_sample333,63.79865217,0.836
mil12_redesignloop_0_3_sample71,66.53330337,0.84
mil12_redesignloop_0_2_sample418,66.260125,0.84
mil12_redesignloop_0_2_sample181,65.44469388,0.84
mil12_redesignloop_0_3_sample294,62.51816842,0.834
mil12_redesignloop_0_2_sample470,61.32434,0.84
mil12_redesignloop_0_3_sample228,65.04815217,0.838
mil12_redesignloop_0_3_sample390,62.64314583,0.84
mil12_redesignloop_0_2_sample348,65.01630303,0.84
mil12_redesignloop_0_2_sample144,61.4912,0.838
mil12_redesignloop_0_2_sample302,66.4479375,0.84
mil12_redesignloop_0_3_sample203,58.85473684,0.83
mil12_redesignloop_0_3_sample254,64.45522222,0.832
mil12_redesignloop_0_3_sample257,64.49212766,0.838
mil12_redesignloop_0_2_sample475,69.98886869,0.84
mil12_redesignloop_0_3_sample358,77.15659574,0.848
mil12_redesignloop_0_2_sample290,60.83964948,0.83
mil12_redesignloop_0_2_sample132,64.55858947,0.84
mil12_redesignloop_0_3_sample96,65.52454167,0.84
mil12_redesignloop_0_2_sample207,64.38075789,0.838
mil12_redesignloop_0_3_sample459,61.26303158,0.84
mil12_redesignloop_0_2_sample158,61.67675,0.84
mil12_redesignloop_0_3_sample99,65.58694737,0.84
mil12_redesignloop_0_2_sample284,61.54141667,0.836
mil12_redesignloop_0_2_sample296,68.6364898,0.84
mil12_redesignloop_0_3_sample163,65.77570833,0.84
mil12_redesignloop_0_2_sample200,67.83564706,0.84
mil12_redesignloop_0_2_sample468,62.02255446,0.836
mil12_redesignloop_0_2_sample96,65.13472,0.84
mil12_redesignloop_0_2_sample236,62.89346809,0.84
mil12_redesignloop_0_2_sample372,66.40924752,0.84
mil12_redesignloop_0_3_sample430,60.55698947,0.832
mil12_redesignloop_0_2_sample359,68.24166,0.84
mil12_redesignloop_0_2_sample92,67.2029703,0.84
mil12_redesignloop_0_3_sample112,63.00859406,0.84
mil12_redesignloop_0_2_sample394,69.62735484,0.84
mil12_redesignloop_0_3_sample281,59.54217204,0.83
mil12_redesignloop_0_3_sample292,63.30230769,0.832
mil12_redesignloop_0_3_sample282,63.8942766,0.84
mil12_redesignloop_0_2_sample279,62.69319192,0.838
mil12_redesignloop_0_3_sample479,60.96104167,0.834
mil12_redesignloop_0_3_sample413,59.69247312,0.83
mil12_redesignloop_0_2_sample304,65.4014433,0.84
mil12_redesignloop_0_2_sample3,67.07428,0.84
mil12_redesignloop_0_3_sample144,55.09967677,0.83
mil12_redesignloop_0_3_sample224,63.90944086,0.838
mil12_redesignloop_0_2_sample88,66.90929787,0.84
mil12_redesignloop_0_2_sample100,71.18796,0.842
mil12_redesignloop_0_2_sample56,72.42004,0.85
mil12_redesignloop_0_2_sample316,64.72505882,0.84
mil12_redesignloop_0_3_sample364,63.59474468,0.84
mil12_redesignloop_0_2_sample331,66.99023158,0.84
mil12_redesignloop_0_2_sample256,67.69845361,0.84
mil12_redesignloop_0_3_sample85,64.20483146,0.838
mil12_redesignloop_0_3_sample369,63.15520833,0.836
mil12_redesignloop_0_2_sample364,64.20612121,0.84
mil12_redesignloop_0_2_sample329,60.477,0.836
mil12_redesignloop_0_2_sample260,62.91902041,0.84
mil12_redesignloop_0_3_sample29,65.04883333,0.834
mil12_redesignloop_0_2_sample94,63.62767742,0.84
mil12_redesignloop_0_2_sample391,64.04132653,0.838
mil12_redesignloop_0_3_sample424,67.64827083,0.84
mil12_redesignloop_0_2_sample40,63.34326,0.84
mil12_redesignloop_0_3_sample157,62.25610989,0.832
mil12_redesignloop_0_3_sample327,63.8765,0.838
mil12_redesignloop_0_3_sample416,59.58816495,0.83
mil12_redesignloop_0_2_sample48,68.3428172,0.84
mil12_redesignloop_0_2_sample434,65.90312621,0.84
mil12_redesignloop_0_2_sample395,65.715625,0.84
mil12_redesignloop_0_2_sample182,64.88536634,0.84
mil12_redesignloop_0_3_sample101,60.61951515,0.83
mil12_redesignloop_0_2_sample8,64.17612,0.838
mil12_redesignloop_0_2_sample336,67.57328713,0.84
mil12_redesignloop_0_2_sample21,64.2842449,0.84
mil12_redesignloop_0_2_sample377,67.057,0.84
mil12_redesignloop_0_2_sample113,62.88277778,0.832
mil12_redesignloop_0_2_sample34,66.55104762,0.84
mil12_redesignloop_0_3_sample284,65.07862366,0.84
mil12_redesignloop_0_3_sample393,58.76855914,0.83
mil12_redesignloop_0_2_sample67,63.13944898,0.836
mil12_redesignloop_0_3_sample443,61.815,0.84
mil12_redesignloop_0_3_sample391,64.29049485,0.84
mil12_redesignloop_0_2_sample155,61.36173626,0.84
mil12_redesignloop_0_3_sample308,60.85868817,0.83
mil12_redesignloop_0_3_sample97,64.74659091,0.84
mil12_redesignloop_0_2_sample197,62.54614433,0.838
mil12_redesignloop_0_3_sample246,60.48850505,0.83
mil12_redesignloop_0_3_sample302,66.21721348,0.84
mil12_redesignloop_0_3_sample122,66.04711828,0.84
mil12_redesignloop_0_3_sample156,62.9581087,0.838
mil12_redesignloop_0_3_sample220,65.36751648,0.84
mil12_redesignloop_0_2_sample146,63.61518,0.84
mil12_redesignloop_0_3_sample142,62.24019149,0.832
mil12_redesignloop_0_3_sample377,59.80147368,0.832
mil12_redesignloop_0_3_sample166,61.3944086,0.83
mil12_redesignloop_0_2_sample233,63.09290909,0.84
mil12_redesignloop_0_3_sample192,59.51020619,0.832
mil12_redesignloop_0_2_sample381,59.46950495,0.83
mil12_redesignloop_0_2_sample292,62.64174737,0.84
mil12_redesignloop_0_2_sample137,69.35236364,0.844
mil12_redesignloop_0_3_sample195,59.00885106,0.83
mil12_redesignloop_0_2_sample462,66.79383673,0.84
mil12_redesignloop_0_2_sample246,64.81892929,0.84
mil12_redesignloop_0_3_sample296,66.08527273,0.84
mil12_redesignloop_0_3_sample253,61.06042697,0.83
mil12_redesignloop_0_3_sample334,61.2852,0.834
mil12_redesignloop_0_3_sample104,63.30931959,0.838
mil12_redesignloop_0_2_sample356,60.96072917,0.83
mil12_redesignloop_0_2_sample235,62.17671429,0.838
mil12_redesignloop_0_2_sample163,65.55477083,0.84
mil12_redesignloop_0_3_sample201,68.48283871,0.84
mil12_redesignloop_0_2_sample389,67.4854898,0.84
mil12_redesignloop_0_2_sample500,64.47248544,0.84
mil12_redesignloop_0_2_sample69,63.08990099,0.84
mil12_redesignloop_0_3_sample132,65.43821053,0.84
mil12_redesignloop_0_3_sample237,57.40897872,0.83
mil12_redesignloop_0_3_sample266,61.09589011,0.838
mil12_redesignloop_0_3_sample159,67.37505263,0.84
mil12_redesignloop_0_2_sample142,62.18523404,0.832
mil12_redesignloop_0_2_sample417,67.27203846,0.84
mil12_redesignloop_0_2_sample425,65.2382,0.84
mil12_redesignloop_0_2_sample282,64.82785859,0.84
mil12_redesignloop_0_2_sample431,66.153875,0.84
mil12_redesignloop_0_3_sample368,62.5688172,0.834
mil12_redesignloop_0_3_sample114,60.55225581,0.83
mil12_redesignloop_0_2_sample493,61.59567347,0.84
mil12_redesignloop_0_2_sample305,62.40910204,0.838
mil12_redesignloop_0_2_sample157,64.77896,0.84
mil12_redesignloop_0_2_sample78,64.9165102,0.838
mil12_redesignloop_0_3_sample319,62.95615054,0.834
mil12_redesignloop_0_2_sample154,66.81945455,0.84
mil12_redesignloop_0_3_sample168,61.80784946,0.83
mil12_redesignloop_0_2_sample463,64.80259406,0.84
mil12_redesignloop_0_3_sample482,57.95284211,0.83
mil12_redesignloop_0_2_sample433,62.12360825,0.836
mil12_redesignloop_0_3_sample46,59.45204301,0.83
mil12_redesignloop_0_2_sample175,65.11010204,0.84
mil12_redesignloop_0_3_sample433,63.00814583,0.838
mil12_redesignloop_0_3_sample249,64.4426087,0.838
mil12_redesignloop_0_3_sample175,61.3412043,0.83
mil12_redesignloop_0_2_sample259,67.84290196,0.84
mil12_redesignloop_0_3_sample395,61.05737778,0.83
mil12_redesignloop_0_2_sample210,63.57626263,0.84
mil12_redesignloop_0_2_sample216,64.85275248,0.838
mil12_redesignloop_0_2_sample286,59.33224,0.832
mil12_redesignloop_0_3_sample152,66.11246316,0.84
mil12_redesignloop_0_2_sample115,64.55090909,0.84
mil12_redesignloop_0_3_sample183,61.3827957,0.83
mil12_redesignloop_0_3_sample336,64.36129032,0.84
mil12_redesignloop_0_2_sample29,65.47728571,0.84
mil12_redesignloop_0_2_sample30,66.2132,0.84
mil12_redesignloop_0_2_sample13,62.369875,0.838
mil12_redesignloop_0_2_sample413,75.02778947,0.85
mil12_redesignloop_0_3_sample293,63.25352688,0.832
mil12_redesignloop_0_3_sample219,59.23389247,0.83
mil12_redesignloop_0_3_sample3,64.65539583,0.84
mil12_redesignloop_0_2_sample369,63.15304082,0.832
mil12_redesignloop_0_3_sample236,64.00548387,0.84
mil12_redesignloop_0_2_sample488,62.76397959,0.838
mil12_redesignloop_0_3_sample273,60.76227368,0.834
mil12_redesignloop_0_3_sample206,68.08849462,0.84
mil12_redesignloop_0_3_sample259,63.82546237,0.84
mil12_redesignloop_0_3_sample263,65.9050625,0.84
mil12_redesignloop_0_3_sample208,58.46113043,0.83
mil12_redesignloop_0_2_sample308,62.79286316,0.83
mil12_redesignloop_0_3_sample403,61.6164,0.83
mil12_redesignloop_0_2_sample388,66.34646939,0.84
mil12_redesignloop_0_2_sample324,65.26760417,0.84
mil12_redesignloop_0_3_sample141,65.94831579,0.84
mil12_redesignloop_0_3_sample155,65.08946237,0.84
mil12_redesignloop_0_2_sample274,62.78806186,0.84
mil12_redesignloop_0_3_sample48,66.87741573,0.84
mil12_redesignloop_0_3_sample383,64.46641237,0.84
mil12_redesignloop_0_2_sample424,63.81586275,0.84
mil12_redesignloop_0_2_sample386,62.01974737,0.832
mil12_redesignloop_0_3_sample289,63.95802151,0.84
mil12_redesignloop_0_2_sample152,65.52171429,0.84
alphafold3,,
mil12_redesignloop_0_3_sample93,59.84745652,0.832
mil12_redesignloop_0_3_sample100,65.94491111,0.84
mil12_redesignloop_0_2_sample288,66.28891429,0.84
mil12_redesignloop_0_2_sample294,70.74493878,0.848
mil12_redesignloop_0_3_sample92,58.328,0.82
mil12_redesignloop_0_2_sample156,67.307,0.84
mil12_redesignloop_0_3_sample372,65.5168913,0.84
mil12_redesignloop_0_2_sample85,60.89295556,0.834
mil12_redesignloop_0_3_sample370,74.68304255,0.848
mil12_redesignloop_0_2_sample334,64.42078788,0.832
mil12_redesignloop_0_3_sample442,66.90119101,0.84
mil12_redesignloop_0_3_sample191,63.4535914,0.838
mil12_redesignloop_0_3_sample248,64.1745625,0.838
mil12_redesignloop_0_3_sample329,60.03872727,0.83
mil12_redesignloop_0_2_sample332,63.19154839,0.84
mil12_redesignloop_0_2_sample465,64.82573737,0.838
mil12_redesignloop_0_3_sample452,66.16475,0.84
mil12_redesignloop_0_3_sample127,62.81644211,0.836
mil12_redesignloop_0_2_sample109,62.26052632,0.832
mil12_redesignloop_0_3_sample56,74.94653763,0.848
mil12_redesignloop_0_3_sample351,63.52382022,0.84
mil12_redesignloop_0_3_sample154,65.35179381,0.84
mil12_redesignloop_0_2_sample104,63.6517,0.84
mil12_redesignloop_0_2_sample38,64.69384946,0.84
mil12_redesignloop_0_2_sample370,66.18548936,0.84
mil12_redesignloop_0_3_sample457,65.49446316,0.834
mil12_redesignloop_0_3_sample389,63.91204124,0.838
mil12_redesignloop_0_2_sample278,63.61518,0.84
mil12_redesignloop_0_2_sample24,63.821,0.832
mil12_redesignloop_0_2_sample327,63.48787629,0.84
mil12_redesignloop_0_2_sample385,67.98921154,0.842
mil12_redesignloop_0_2_sample466,66.41176238,0.84
mil12_redesignloop_0_3_sample356,61.31987234,0.83
mil12_redesignloop_0_3_sample363,62.69180198,0.836
mil12_redesignloop_0_2_sample139,62.23626804,0.834
mil12_redesignloop_0_2_sample145,60.48686275,0.832
mil12_redesignloop_0_2_sample93,61.66010101,0.838
mil12_redesignloop_0_3_sample388,63.20108333,0.834
mil12_redesignloop_0_2_sample411,64.11189899,0.84
mil12_redesignloop_0_3_sample176,62.18346237,0.83
mil12_redesignloop_0_3_sample80,65.71058696,0.84
mil12_redesignloop_0_3_sample4,64.37889583,0.84
mil12_redesignloop_0_3_sample348,59.56404444,0.83
mil12_redesignloop_0_2_sample401,70.8165098,0.842
mil12_redesignloop_0_3_sample84,61.9718913,0.834
mil12_redesignloop_0_3_sample305,61.92604211,0.83
mil12_redesignloop_0_2_sample451,63.53452083,0.838
mil12_redesignloop_0_2_sample491,66.92460417,0.84
mil12_redesignloop_0_2_sample486,63.18309278,0.832
mil12_redesignloop_0_2_sample483,58.64724211,0.83
mil12_redesignloop_0_2_sample189,63.33339583,0.838
mil12_redesignloop_0_3_sample260,59.91721649,0.832
mil12_redesignloop_0_3_sample300,57.83888421,0.828
mil12_redesignloop_0_2_sample363,64.13194059,0.84
